event_id,url,title,date_start,time_start,location,ticket_url,ticket_price_text,ticket_free,description,category,categories,organizer,duration
cab18fef035ef2b2b8211e1da00f3e12,https://allevents.in/skopje/nick-cave-%D0%94%D0%9E%D0%90%D0%83%D0%90-%D0%92%D0%9E-%D0%9C%D0%90%D0%9A%D0%95%D0%94%D0%9E%D0%9D%D0%98%D0%88%D0%90/200028015737930,NICK CAVE ДОАЃА ВО МАКЕДОНИЈА!,,,Stadion Na ARM,https://allevents.in/skopje/nick-cave-%D0%94%D0%9E%D0%90%D0%83%D0%90-%D0%92%D0%9E-%D0%9C%D0%90%D0%9A%D0%95%D0%94%D0%9E%D0%9D%D0%98%D0%88%D0%90/200028015737930,,True,"OH, WHAT A DAY:

NICK CAVE, EДЕН ОД НАЈГОЛЕМИТЕ И НАЈЗНАЧАЈНИ АРТИСТИ НА НАШЕТО ВРЕМЕ ДОАЃА ВО СКОПЈЕ НА SKOPJE CALLING 2025!

22 АВГУСТ 
СТАДИОН НА АРМ
20 ЧАСОТ

Каков е и каков бил животот зависи од тоа кои ти биле и се’ уште се твои современици.
Ние не можеме да се пожалиме во тој сегмент.

А, не",Music,['Music'],Avalon International Booking,
3ea20489e703de77d8908e014bd47949,https://allevents.in/skopje/yll-limani-open-air-concert-in-skopje-on-august-20/200028542078203,YLL LIMANI OPEN AIR CONCERT IN SKOPJE ON AUGUST 20!,,,Stadion Na Arm Gradski Park,https://allevents.in/skopje/yll-limani-open-air-concert-in-skopje-on-august-20/200028542078203,,True,"YLL LIMANI WITH A BIG OPEN AIR CONCERT IN SKOPJE ON AUGUST 20!

ARM STADIUM
9 PM

Dear friends,

It is truly a great pleasure to announce that Avalon International Booking in co-production with Three60 Music will organize the concert of the big pop star YLL LIMANI, on August 20 at ARM Stadium!

Afte",Music,['Music'],Avalon International Booking,
5e492c01cc0a649aeef3a063eea910b7,https://allevents.in/skopje/skopje-fury-festival-13092025-%D0%9C%D0%9A%D0%A6-%D0%9F%D0%B0%D1%80%D0%BA/200027725275155,Skopje Fury Festival! 13.09.2025 // МКЦ Парк,,,"Date & Location
Sat, 13 Sep, 2025 at 02:00 pm to 11:45 pm (CEST)
Add to Calendar
Младински Културен Центар
Младински Културен центар, 1125 Скопје, Северна Македонија, Skopje, Macedonia, The Former Yugoslav Republic Of
View on map, Младински Културен Центар, Младински Културен центар, 1125 Скопје, Северна Македонија, Skopje, Macedonia, The Former Yugoslav Republic Of, View on map",https://allevents.in/skopje/skopje-fury-festival-13092025-%D0%9C%D0%9A%D0%A6-%D0%9F%D0%B0%D1%80%D0%BA/200027725275155,,True,"Skopje Fury Festival! 13.09.2025 // МКЦ Парк Со особена гордост сакаме да ви го најавиме првото издание на Skopje Fury. Фестивал кoj ќе се одрѓи во паркот на МКЦ! Локација супер позната на сите нас. Конечно сметаме дека е дојдено време за Скопје да добие open air метал фестивал, кој се надеваме дека со текот на времето ќе прерасне во регионален годишен собир на вљубеници во екстремната музика. 13.09.2025год. е датата која треба да ви се вреже во вашата металска потсвест и секако во вашите календари :) Спремајте се за: 6 бенда Масивна бина Метал зона Карти во претпродажба 1300 денари На денот на концертот 1600 На линкот подолу https://drugastrana.mk/event/skopje-fury/ Skopje Fury- the Inception Terrorvoid Promotions Also check out other Festivals in Skopje.",Music,['Music'],Terrorvoid Promotions,02:00 pm - 11:45 pm
69f180ee7908095fbeb85a269af10106,https://allevents.in/skopje/yll-limani-live-show-skopje/200028542078102,Yll Limani Live Show - Skopje,,,"Skopje, North Macedonia",https://allevents.in/skopje/yll-limani-live-show-skopje/200028542078102,,True,"YLL LIMANI LIVE SHOW IN SKOPJE OPEN AIR!

📆20 AUGUST
📍ARM STADIUM

One of the greatest Albanian artists of the modern scene, YLL LIMANI, comes to Skopje with his famous ballads and pop hits that have left their mark. The audience will have the opportunity to enjoy the concert accompanied by a band o",Music,['Music'],KickTick,
b47009dcdf65bd876a1b6efdab6b9d46,https://allevents.in/skopje/skopje-blabla-lanaguage-exchange-every-other-thursday-recurrent-event/200028341266926,Skopje BlaBla Lanaguage Exchange - Every other Thursday - Recurrent event -,,,Skopje,https://allevents.in/skopje/skopje-blabla-lanaguage-exchange-every-other-thursday-recurrent-event/200028341266926,,True,"🌟🌍 Hi BlaBla Language Exchange Lovers!

Join our BlaBla events to meet new folks, forge friendships, and let your tongues wag in different languages! 🗣️🎉🎈!
……………
👉 Any question or request? Reach out to us on Instagram: www.instagram.com/blablalanguage
……………
👉 Join Our BlaBla Whatsapp Group: https://",Business,['Business'],BlaBla Language Exchange - Macedonia,07:30 pm - 10:00 pm
e8c06eee7bef8b42b776b48ea569f8a4,https://allevents.in/skopje/boardgames-meetup-registration-is-mandatory/200028536498804,Boardgames Meetup (Registration is mandatory),,,Skopje,https://allevents.in/skopje/boardgames-meetup-registration-is-mandatory/200028536498804,,True,"🎲 Join Our Board & Card Game Night! 🃏✨
Ready for a night of fun and strategy? Whether you’re a fan of classic board games or love a good card game, this is the perfect event to meet new people and enjoy some friendly competition. Grab a seat, roll the dice, and let the games begin!",Business,['Business'],BlaBla Language Exchange - Macedonia,07:00 pm - 09:30 pm
dd35f5e3487175074d61b5bc68ba86d8,https://allevents.in/skopje/%D0%9F%D0%B8%D0%B2%D0%BE%D0%BB%D0%B5%D0%BD%D0%B4-2025/200028650708136,Пиволенд 2025,,,"Парк на Франкофонијата, Skopje",https://allevents.in/skopje/%D0%9F%D0%B8%D0%B2%D0%BE%D0%BB%D0%B5%D0%BD%D0%B4-2025/200028650708136,,True,"Четиринаесето издание на најубавиот пивски гурмански викенд - Пиволенд. Во паркот на франкофонијата на 21-ви, 22-ри и 23-ти Август, Скопје ќе пулсира во ритамот на музиката и пивото.
ДОЈДИ ВИДИ ИСПИЈ - ПИВОЛЕНД",Food,['Food'],Пиволенд,
f68ec1852fa57d3becb85289280b6530,https://allevents.in/skopje/dating-meetup-skopje-registration-is-mandatory/200028427636411,Dating Meetup - Skopje (Registration is mandatory),,,Skopje,https://allevents.in/skopje/dating-meetup-skopje-registration-is-mandatory/200028427636411,,True,"💞 Authentic Connections (30–45 y/o) – Real Dating, No Pressure ☕🌹
Looking for real connections — no apps, no swipes, no pressure?
Welcome to our dating event designed especially for single men and women aged 30 to 45 who want something genuine in a relaxed and friendly setting.
📅 When: Once a month",Business,['Business'],BlaBla Language Exchange - Macedonia,07:00 pm - 09:00 pm
888d750c3698d8651cf43eb601213735,https://allevents.in/skopje/balkanjazz-group/200028599714351,BalkanJazz Group,,,Public Room,https://allevents.in/skopje/balkanjazz-group/200028599714351,,True,"🎶 За љубителите на класичниот џез звук и оние кои ги сакаат ритмичко-мелодиските експерименти – го најавуваме концертот на Tomi Purich BalkanJazz Group на 23 август во Public Room!

🎹 Во форма на класично џез трио – пијано, контрабас и тапани – со женски вокал, групата нуди уникатна мешавина од балк",Music,['Music'],Public Room,
bb952b0d0e1630e25ff74b98ee3c3740,https://allevents.in/skopje/stand-up-comedy-in-broken-english-%E2%80%A2-victor-patrascan-in-skopje/80003383521085,Stand up Comedy in broken English • Victor Patrascan in Skopje,,,Public Room,https://allevents.in/skopje/stand-up-comedy-in-broken-english-%E2%80%A2-victor-patrascan-in-skopje/80003383521085,,True,Laugh with Europe's comedy nomad Victor Patrascan as he tells hilarious jokes while asking thought-provoking questions on today’s most controversial topics. You'll hear jokes on subjects like race and religion all the way to gender and politics. This show is not for the easily offended! Don’t miss o,Theater,['Theater'],The Comedy Nomad,08:00 pm - 10:00 pm
