event_id,url,title,date_start,time_start,location,ticket_url,ticket_price_text,ticket_free,description,categories,organizer,genre,director,actors,duration,year
2d1d5b50f4e9983e7d7bce57306e63e1,https://www.cineplexx.mk/events/Open%20Air%20Cinema,Open Air Cinema,11 August,19:00,Cineplexx - Skopje,https://www.cineplexx.mk/events/Open%20Air%20Cinema,250 ден.,False,Кино проекција на Open Air Cinema,['movie'],Cineplexx,,,,,
8acfdf847d7032517449e1f1dbf1dded,https://www.cineplexx.mk/film/%23RUNSEOKJIN_EP.TOUR-in-AMSTERDAM:-LIVE-VIEWING?date=2025-08-10&location=all,#RUNSEOKJIN_EP.TOUR in AMSTERDAM: LIVE VIEWING,10 Август,19:00,Cineplexx - Skopje,https://www.cineplexx.mk/film/%23RUNSEOKJIN_EP.TOUR-in-AMSTERDAM:-LIVE-VIEWING?date=2025-08-10&location=all,250 ден.,False,Кино проекција на #RUNSEOKJIN_EP.TOUR in AMSTERDAM: LIVE VIEWING,['movie'],Cineplexx,,,,,
79d14515a491e5988e3cb4667c9af5c8,https://www.cineplexx.mk/film/bring-her-back?date=2025-08-10&location=all,Bring Her Back,10 Август,19:00,Cineplexx - Skopje,https://www.cineplexx.mk/film/bring-her-back?date=2025-08-10&location=all,250 ден.,False,A brother and sister uncover a terrifying ritual at the secluded home of their new foster mother.,['movie'],Cineplexx,Хорор,"Danny Philippou, Michael Philippou","Sally Hawkins, Billy Barratt, Sora Wong, Jonah Wren Phillips, Sally-Anne Upton, Stephen Phillips, Liam Damons, Mischa Heywood, Olga Miller",1h 44m,2025
7dcefca9b03624aa0929af762a8b2c4d,https://www.cineplexx.mk/events/%D0%94%D0%B5%D1%82%D1%81%D0%BA%D0%B8%20%D0%B1%D0%B8%D0%BB%D0%B5%D1%82,Детски билет,11 August,19:00,Cineplexx - Skopje,https://www.cineplexx.mk/events/%D0%94%D0%B5%D1%82%D1%81%D0%BA%D0%B8%20%D0%B1%D0%B8%D0%BB%D0%B5%D1%82,250 ден.,False,Кино проекција на Детски билет,['movie'],Cineplexx,,,,,
c2236359819abb217676c12fbde95e10,https://www.cineplexx.mk/film/the-naked-gun?date=2025-08-10&location=all,The Naked Gun,10 Август,19:00,Cineplexx - Skopje,https://www.cineplexx.mk/film/the-naked-gun?date=2025-08-10&location=all,250 ден.,False,Само еден човек ги има потребните вештини за да го предводи полицискиот тим и да го спаси светот.,['movie'],Cineplexx,Комедија,Akiva Schaffer,"Liam Neeson, Paul Walter Hauser, Danny Huston, Kevin Durand, Liza Koshy, Pamela Anderson, CCH Pounder, Cody Rhodes, Eddie Yu",1h 25m,2025
40147e272631425d641a0f6617b69395,https://www.cineplexx.mk/film/how-to-train-your-dragon?date=2025-08-10&location=all,Како да го дресирате вашиот змеј,10 Август,19:00,Cineplexx - Skopje,https://www.cineplexx.mk/film/how-to-train-your-dragon?date=2025-08-10&location=all,250 ден.,False,"На непристапниот остров Бер, каде Викинзите и змејовите со генерации живееле како лути непријатели, Хикап се сприлателува со Беззаб, страшниот змеј Ноќна фурија.",['movie'],Cineplexx,"Акција, Авантура, Семеен",Dean DeBlois,"Gerard Butler, Nick Frost, Julian Dennison, Mason Thames, Bronwyn James, Nico Parker, Gabriel Howell, Harry Trevaldwyn, Ruth Codd, Peter Serafinowicz, Murray McArthur",2h 5m,2025
71f58d7e76ba0b9399b790f9a5d72d4f,https://www.cineplexx.mk/film/lilo-i-stitch?date=2025-08-10&location=all,Лило и Стич,10 Август,19:00,Cineplexx - Skopje,https://www.cineplexx.mk/film/lilo-i-stitch?date=2025-08-10&location=all,250 ден.,False,Кино проекција на Лило и Стич,['movie'],Cineplexx,,,,,
2007d011243e467b5ba385d8569a1ec2,https://www.cineplexx.mk/film/weapons?date=2025-08-10&location=all,Оружја,10 Август,19:00,Cineplexx - Skopje,https://www.cineplexx.mk/film/weapons?date=2025-08-10&location=all,250 ден.,False,"An interrelated, multistory horror epic about the disappearance of high school students in a small town.",['movie'],Cineplexx,"Драма, Хорор, Мистерија",Zach Cregger,"Josh Brolin, Alden Ehrenreich, Austin Abrams, Benedict Wong, Julia Garner, Amy Madigan, Cary Christopher",2h 7m,2025
14790524409a71feed97c2c28b3d1b2d,https://www.cineplexx.mk/film/%D0%A1%D0%B2%D0%B5%D1%82%D0%BE%D1%82-%D0%88%D1%83%D1%80%D0%B0:-%D0%9F%D1%80%D0%B5%D0%BF%D0%BE%D1%80%D0%BE%D0%B4?date=2025-08-10&location=all,Светот Јура: Препород,10 Август,19:00,Cineplexx - Skopje,https://www.cineplexx.mk/film/%D0%A1%D0%B2%D0%B5%D1%82%D0%BE%D1%82-%D0%88%D1%83%D1%80%D0%B0:-%D0%9F%D1%80%D0%B5%D0%BF%D0%BE%D1%80%D0%BE%D0%B4?date=2025-08-10&location=all,250 ден.,False,Кино проекција на Светот Јура: Препород,['movie'],Cineplexx,"Акција, Трилер, Авантура",Gareth Edwards,"Scarlett Johansson, Mahershala Ali, Jonathan Bailey, Ed Skrein, Rupert Friend, Manuel Garcia-Rulfo, Philippine Velge, Luna Blaise, David Iacono, Audrina Miranda, Bechir Sylvain",2h 14m,2025
8e89cc8e0d00833f5890bcdebe95124e,https://www.cineplexx.mk/film/%D0%A1%D1%83%D0%BF%D0%B5%D1%80%D0%BC%D0%B5%D0%BD?date=2025-08-10&location=all,Супермен,10 Август,19:00,Cineplexx - Skopje,https://www.cineplexx.mk/film/%D0%A1%D1%83%D0%BF%D0%B5%D1%80%D0%BC%D0%B5%D0%BD?date=2025-08-10&location=all,250 ден.,False,"Првиот филм од новиот филмски универзум на ДиСи, Супермен, во продукција на Ворнер Брос, а во режија на Џејмс Ган и во неговиот препознатлив стил.",['movie'],Cineplexx,"Фантазија, Акција, Авантура",James Gunn,"Frank Grillo, Nicholas Hoult, Rachel Brosnahan, Isabela Merced, David Corenswet, Nathan Fillion, Milly Alcock",2h 9m,2025
