event_id,url,title,date_start,time_start,location,ticket_url,ticket_price_text,ticket_free,description,category,organizer,duration
1b948b276b7d33950807ebac3361327a,https://allevents.in/skopje/sparkasse-life-%D0%9F%D0%A0%D0%92-%D0%94%D0%9E-%D0%92%D0%A0%D0%92-2026/200028278672940,Sparkasse Life ПРВ ДО ВРВ 2026,17 Мај,,Врв На Водно,https://allevents.in/skopje/sparkasse-life-%D0%9F%D0%A0%D0%92-%D0%94%D0%9E-%D0%92%D0%A0%D0%92-2026/200028278672940,,True,Настан: Sparkasse Life ПРВ ДО ВРВ 2026,event,,
064c583a9a7079cfc9f2062702e513b4,https://allevents.in/skopje/sri-chinmoy-marathon-2026/200028433197529,Sri Chinmoy Marathon 2026,15 Март,,"City Park, Skopje",https://allevents.in/skopje/sri-chinmoy-marathon-2026/200028433197529,,True,Настан: Sri Chinmoy Marathon 2026,Sports,,
caef6482749f99c4ee9b4cd0cc2c2d8e,https://allevents.in/skopje/wizz-air-skopje-marathon-2026/200029079002627,Wizz Air Skopje Marathon 2026,4 Октомври,,"Skopje, 1000 Skopje, North Macedonia",https://allevents.in/skopje/wizz-air-skopje-marathon-2026/200029079002627,,True,Настан: Wizz Air Skopje Marathon 2026,Sports,,
1540682e8b5c2d5378d7855d70eafc28,https://allevents.in/skopje/villagers-of-ioannina-city-%7C-venceremos-tour-%7C-mkc-%7C-skopje/200029090394839,VILLAGERS OF IOANNINA CITY | Venceremos Tour | @MKC | SKOPJE,5 Март,,Младински Културен Центар,https://allevents.in/skopje/villagers-of-ioannina-city-%7C-venceremos-tour-%7C-mkc-%7C-skopje/200029090394839,,True,Настан: VILLAGERS OF IOANNINA CITY | Venceremos Tour | @MKC | SKOPJE,Business,,
82377b9856d42a9d04405a4ec88bada5,https://allevents.in/skopje/14-%D1%82%D0%B0-%D0%90%D0%B2%D0%B8%D1%86%D0%B5%D0%BD%D0%B0-%D0%96%D0%B5%D0%BD%D1%81%D0%BA%D0%B0-%D1%82%D1%80%D0%BA%D0%B0/200029079002730,14-та Авицена Женска трка,5 Април,,Фонтана Лотосов Цвет,https://allevents.in/skopje/14-%D1%82%D0%B0-%D0%90%D0%B2%D0%B8%D1%86%D0%B5%D0%BD%D0%B0-%D0%96%D0%B5%D0%BD%D1%81%D0%BA%D0%B0-%D1%82%D1%80%D0%BA%D0%B0/200029079002730,,True,Настан: 14-та Авицена Женска трка,Sports,,
82d3363b2ce63005fe82adc0aa292381,https://allevents.in/skopje/halkeco-skopje-run-10k-2026/200029079002527,HalkEco Skopje Run 10K 2026,10 Мај,,Фонтана Лотосов Цвет,https://allevents.in/skopje/halkeco-skopje-run-10k-2026/200029079002527,,True,Настан: HalkEco Skopje Run 10K 2026,Sports,,
3cb6cc6789680d869c2a98d14d9b1b5e,https://allevents.in/skopje/the-young-gods-%E2%80%A2-%D0%9C%D0%9A%D0%A6-%D0%A1%D0%BA%D0%BE%D0%BF%D1%98%D0%B5/200029090394535,"THE YOUNG GODS • МКЦ, Скопје",14 Март,,Младински Културен Центар,https://allevents.in/skopje/the-young-gods-%E2%80%A2-%D0%9C%D0%9A%D0%A6-%D0%A1%D0%BA%D0%BE%D0%BF%D1%98%D0%B5/200029090394535,,True,"Настан: THE YOUNG GODS • МКЦ, Скопје",event,,
a80ae5e2e1b407634efa2cbcd2b0af41,https://allevents.in/skopje/todo-es-amor-skopje-tango-festival-17-19-april-2026/200029041127226,Todo Es Amor - Skopje Tango Festival 17-19 April 2026,17 Април,,Museum Of The Macedonian Struggle,https://allevents.in/skopje/todo-es-amor-skopje-tango-festival-17-19-april-2026/200029041127226,,True,Настан: Todo Es Amor - Skopje Tango Festival 17-19 April 2026,Music,,
d158a8a15a67ad0db54fb5dcb3ca07fb,https://allevents.in/skopje/maf-am-20th-anniversary-aikido-seminar/200028711280503,MAF-AM 20th Anniversary Aikido Seminar,18 Април,,"Skopje, North Macedonia",https://allevents.in/skopje/maf-am-20th-anniversary-aikido-seminar/200028711280503,,True,Настан: MAF-AM 20th Anniversary Aikido Seminar,Education,,
47e7510bb40c8702c210053f91cbdb43,https://allevents.in/skopje/community-networking-meetup-for-entrepreneurs-by-entrepreneurs/200028576890503,"Community Networking Meetup: For Entrepreneurs, By Entrepreneurs",13 Февруари,,Skopje,https://allevents.in/skopje/community-networking-meetup-for-entrepreneurs-by-entrepreneurs/200028576890503,,True,"Настан: Community Networking Meetup: For Entrepreneurs, By Entrepreneurs",Business,,
