event_id,url,title,date_start,time_start,location,ticket_price,ticket_url,description,category,organiser,duration,genre,director,actors,year,rating,poster_url,scraped_at
cineplexx_20250811_4915,https://www.cineplexx.mk/events/Open%20Air%20Cinema,Open Air Cinema,2025-08-11,19:00,Cineplexx Skopje City Mall,250 MKD,https://www.cineplexx.mk/events/Open%20Air%20Cinema,Кинo проекција на Open Air Cinema,cinema,Cineplexx,120 мин,акција,,,,,https://s3proxygw.cineplexx.at/cms-live/asset/MKD/Events/Open%20Air%20Cinema/Open%20Air%20Cinem/446X648-01.png,2025-08-10T10:31:37.627832
cineplexx_20250810_3650,https://www.cineplexx.mk/film/%23RUNSEOKJIN_EP.TOUR-in-AMSTERDAM:-LIVE-VIEWING?date=2025-08-10&location=all,#RUNSEOKJIN_EP.TOUR in AMSTERDAM: LIVE VIEWING,2025-08-10,19:00,Cineplexx Skopje City Mall,250 MKD,https://www.cineplexx.mk/film/%23RUNSEOKJIN_EP.TOUR-in-AMSTERDAM:-LIVE-VIEWING?date=2025-08-10&location=all,"Можно е само онлајн купување, резервации не се можни.",cinema,Cineplexx,120 мин,музички,,,,,https://s3proxygw.cineplexx.at/cms-live/asset/_default_upload_bucket/rsz_1jin-runseokjin-eu-1sheet-27x40.jpg,2025-08-10T10:31:37.725144
cineplexx_20250810_9302,https://www.cineplexx.mk/film/bring-her-back?date=2025-08-10&location=all,Bring Her Back,2025-08-10,19:00,Cineplexx Skopje City Mall,250 MKD,https://www.cineplexx.mk/film/bring-her-back?date=2025-08-10&location=all,"Можно е само онлајн купување, резервации не се можни.",cinema,Cineplexx,120 мин,Хорор,"Danny Philippou, Michael Philippou",,,,https://s3proxygw.cineplexx.at/cms-live/asset/_default_upload_bucket/BHB_Cineplexx_446x648.jpg,2025-08-10T10:31:37.772585
cineplexx_20250811_1696,https://www.cineplexx.mk/events/%D0%94%D0%B5%D1%82%D1%81%D0%BA%D0%B8%20%D0%B1%D0%B8%D0%BB%D0%B5%D1%82,Детски билет,2025-08-11,19:00,Cineplexx Skopje City Mall,250 MKD,https://www.cineplexx.mk/events/%D0%94%D0%B5%D1%82%D1%81%D0%BA%D0%B8%20%D0%B1%D0%B8%D0%BB%D0%B5%D1%82,Кинo проекција на Детски билет,cinema,Cineplexx,120 мин,акција,,,,,https://s3proxygw.cineplexx.at/cms-live/asset/_default_upload_bucket/446x648xsuperhero.jpg,2025-08-10T10:31:37.833843
cineplexx_20250810_5671,https://www.cineplexx.mk/film/the-naked-gun?date=2025-08-10&location=all,The Naked Gun,2025-08-10,19:00,Cineplexx Skopje City Mall,250 MKD,https://www.cineplexx.mk/film/the-naked-gun?date=2025-08-10&location=all,"Можно е само онлајн купување, резервации не се можни.",cinema,Cineplexx,120 мин,Комедија,Akiva Schaffer,,,,https://s3proxygw.cineplexx.at/cms-live/asset/_default_upload_bucket/Vo%20CPXX%20od%2031.7.2025_446X648.jpg,2025-08-10T10:31:37.896388
cineplexx_20250810_269,https://www.cineplexx.mk/film/how-to-train-your-dragon?date=2025-08-10&location=all,Како да го дресирате вашиот змеј,2025-08-10,19:00,Cineplexx Skopje City Mall,250 MKD,https://www.cineplexx.mk/film/how-to-train-your-dragon?date=2025-08-10&location=all,"Можно е само онлајн купување, резервации не се можни.",cinema,Cineplexx,120 мин,Акција,Dean DeBlois,,,,https://s3proxygw.cineplexx.at/cms-live/asset/_default_upload_bucket/HTTYD_446x648_MK.jpg,2025-08-10T10:31:37.941785
cineplexx_20250810_6352,https://www.cineplexx.mk/film/lilo-i-stitch?date=2025-08-10&location=all,Лило и Стич,2025-08-10,19:00,Cineplexx Skopje City Mall,250 MKD,https://www.cineplexx.mk/film/lilo-i-stitch?date=2025-08-10&location=all,"Можно е само онлајн купување, резервации не се можни.",cinema,Cineplexx,120 мин,анимиран,,,,,https://s3proxygw.cineplexx.at/cms-live/asset/MKD/movies/Lilo%20%26%20Stitch/posterImage.jpg,2025-08-10T10:31:37.983021
cineplexx_20250810_2712,https://www.cineplexx.mk/film/weapons?date=2025-08-10&location=all,Оружја,2025-08-10,19:00,Cineplexx Skopje City Mall,250 MKD,https://www.cineplexx.mk/film/weapons?date=2025-08-10&location=all,"Можно е само онлајн купување, резервации не се можни.",cinema,Cineplexx,120 мин,Драма,Zach Cregger,,,,https://s3proxygw.cineplexx.at/cms-live/asset/_default_upload_bucket/446X648_WEAPONS_MAK.jpg,2025-08-10T10:31:38.030027
cineplexx_20250810_6665,https://www.cineplexx.mk/film/%D0%A1%D0%B2%D0%B5%D1%82%D0%BE%D1%82-%D0%88%D1%83%D1%80%D0%B0:-%D0%9F%D1%80%D0%B5%D0%BF%D0%BE%D1%80%D0%BE%D0%B4?date=2025-08-10&location=all,Светот Јура: Препород,2025-08-10,19:00,Cineplexx Skopje City Mall,250 MKD,https://www.cineplexx.mk/film/%D0%A1%D0%B2%D0%B5%D1%82%D0%BE%D1%82-%D0%88%D1%83%D1%80%D0%B0:-%D0%9F%D1%80%D0%B5%D0%BF%D0%BE%D1%80%D0%BE%D0%B4?date=2025-08-10&location=all,"Можно е само онлајн купување, резервации не се можни.",cinema,Cineplexx,120 мин,Акција,Gareth Edwards,,,,https://s3proxygw.cineplexx.at/cms-live/asset/_default_upload_bucket/JW4_446x648_2.jpg,2025-08-10T10:31:38.080187
cineplexx_20250810_7143,https://www.cineplexx.mk/film/%D0%A1%D1%83%D0%BF%D0%B5%D1%80%D0%BC%D0%B5%D0%BD?date=2025-08-10&location=all,Супермен,2025-08-10,19:00,Cineplexx Skopje City Mall,250 MKD,https://www.cineplexx.mk/film/%D0%A1%D1%83%D0%BF%D0%B5%D1%80%D0%BC%D0%B5%D0%BD?date=2025-08-10&location=all,"Можно е само онлајн купување, резервации не се можни.",cinema,Cineplexx,120 мин,Фантазија,James Gunn,,,,https://s3proxygw.cineplexx.at/cms-live/asset/_default_upload_bucket/rsz_1b1-superman_mak.jpg,2025-08-10T10:31:38.126857
